Activities,METScore,Type,Frequency,CurrentCost,CostIncrease,Steps,StepsAggregate
Put_on_your_walking_shoes_and_take_a_picture_of_them,2,physical,1,0,1,,
Take_a_15-minute_walk_without_stopping,2,physical,5,0,1,,
Take_between_1500_and_2500_steps,6,physical,1,0,1,1500.0,
Take_100_steps,1,physical,1,0,1,100.0,
Take_a_25-minute_walk_without_stopping,6,physical,1,0,1,,
Walk_7000_steps_in_a_day,6,physical,3,0,1,,7000.0
Go_for_a_walk_along_the_river,2,physical,1,0,1,,
Walk_9000_steps_in_a_day,10,physical,4,0,1,,9000.0
Walk_10000_steps_in_a_day,10,physical,2,0,1,,10000.0
Engage_in_sports_for_at_least_30_minutes,6,physical,1,0,1,,
Do_10_squats,6,physical,1,0,1,,
Engage_in_sports_for_at_least_30_minutes,2,physical,3,0,1,,
Do_10_push-ups,6,physical,1,0,1,,
Watch_Video_on_physical_activity,1,general,2,0,1,,
Call_a_friend,1,social,2,0,1,,
Go_to_a_social_event,2,social,1,0,1,,
Engage_with_others,4,social,1,0,1,,
Talk_to_a_family_member,1,social,2,0,1,,
Share_an_article,2,social,1,0,1,,
Cook_dinner_for_someone,8,social,2,0,1,,
Enjoy_an_activity_with_a_family_member,3,social,1,0,1,,
Go_on_a_group_activity,5,social,1,0,1,,
Join_a_community_event,10,social,2,0,1,,
Attend_a_social_gathering,5,social,1,0,1,,
Learn_a_new_word,1,cognitive,1,0,1,,
Complete_a_puzzle,4,cognitive,1,0,1,,
Read_a_book,3,cognitive,1,0,1,,
Practice_meditation,1,cognitive,1,0,1,,
Practice_a_memory_game,4,cognitive,1,0,1,,
Learn_a_new_phrase,1,cognitive,1,0,1,,
Watch_a_documentary,3,cognitive,1,0,1,,
Practice_a_brain_game,1,cognitive,1,0,1,,
Go_on_a_peaceful_walk,2,cognitive,1,0,1,,
