Activities,METScore,Type,Frequency,CurrentCost,CostIncrease,Steps,StepsAggregate
Put_on_your_walking_shoes_and_take_a_picture_of_them,2,physical,1,0,1,,
Take_a_15-minute_walk_without_stopping,2,physical,5,0,1,,
Take_100_steps,1,physical,1,0,1,100.0,
Use_stairs_instead_of_elevators/escalators_for_at_least_one_flight,6,physical,1,0,1,,
Watch_Video_on_physical_activity,1,general,2,0,1,,
Go_to_a_social_event,2,social,1,0,1,,
Talk_to_a_family_member,1,social,2,0,1,,
Say_hi_to_a_colleague,1,social,1,0,1,,
Share_an_article,2,social,1,0,1,,
Cook_dinner_for_someone,8,social,2,0,1,,
Do_a_5_min_yoga_session,5,cognitive,1,0,1,,
Play_a_boardgame,1,cognitive,1,0,1,,
Learn_a_new_word,1,cognitive,1,0,1,,
