physical,social,cognitive,minigame,funratio
6,1,2,0,5.333333333333333
2,10,6,0,8.25
7,2,4,0,4.0
6,4,6,0,3.5
13,10,8,0,8.285714285714286
22,17,11,0,3.6
14,18,11,0,6.7272727272727275
13,11,30,0,5.521739130434782
21,12,22,0,9.071428571428571
17,18,21,0,5.333333333333333
23,22,17,0,5.533333333333333
20,23,23,0,6.4
18,16,20,0,7.545454545454546
30,18,28,0,6.4
34,19,22,0,5.4375
24,22,24,0,10.214285714285714
20,20,21,0,3.111111111111111
19,23,20,0,6.235294117647059
24,19,19,0,3.0
21,23,20,0,8.125
31,20,20,0,3.8
