physical,social,cognitive,minigame,funratio
6,2,0,0,4.5
0,2,0,0,5.666666666666667
6,0,1,0,5.625
0,11,0,1,5.2727272727272725
0,12,1,0,6.8
0,0,1,0,7.625
12,0,0,0,7.888888888888889
1,19,4,0,7.708333333333333
1,13,1,0,7.448275862068965
0,1,0,1,7.483870967741935
0,6,6,0,7.117647058823529
55,105,144,1,6.935483870967742
0,6,0,0,6.904761904761905
1,0,2,1,6.852713178294573
0,1,10,0,6.9465648854961835
0,0,30,0,6.887218045112782
1,12,42,0,6.878571428571429
1,1,0,0,6.866197183098592
7,1,6,0,6.891156462585034
0,0,10,0,6.885135135135135
7,0,0,0,6.993333333333333
